Vendor,Street_Address,City,State,Zip_Code,Telephone,Description_of_Service,Latitude,Longitude
BP Energy Company,18101 Von Karman Ave.,Irvine,CA,92612,(949) 251-8696,Natural gas & biogas for CNG,33.6775,-117.8231
Clean Energy Fuels,"4675 MacArthur Court, Ste. 800",Newport Beach,CA,92660,(866) 809-4869,Natural Gas & BioGas (CNG/RNG/LNG),33.6344,-117.8722
Trillium CNG,"2150 S. 1300 E., Suite 450",Salt Lake City,UT,84106,(800) 920-1166,Natural Gas & BioGas (CNG/RNG),40.7306,-111.8708
GAIN Clean Fuels,425 Better Way,Appleton,WI,54915,(213) 500-4701,Natural Gas & BioGas (CNG/RNG),44.2619,-88.4154
GHI Energy LLC,"800 Bering Drive, Suite C",Houston,TX,77057,(281) 761-7835,Natural Gas & BioGas (CNG),29.7318,-95.5118
AMP Americas,"811 W. Evergreen Ave, Ste 201",Chicago,IL,60642,(312) 300-6700,Natural Gas & BioGas (CNG/RNG),41.9024,-87.6896
Certarus,7200 S Alton Way,Centennial,CO,80112,(844) 373-8277,Bulk CNG logistics & supply,39.5955,-104.8877
IGS CNG Services,6100 Emerald Pkwy,Dublin,OH,43016,(800) 651-1151,Natural Gas & BioGas (CNG),40.0992,-83.1141
CNG 4 America,9800 Bren Rd E,Minnetonka,MN,55343,(952) 935-9494,Natural Gas & BioGas (CNG),44.9212,-93.385
Freedom CNG,7155 High Life Dr,Houston,TX,77066,,Natural Gas (CNG),29.9876,-95.4932
TruStar Energy,"7970 Cherry Ave, Ste 301",Fontana,CA,92336,,CNG fuel supply & infrastructure,34.0922,-117.435
SoCalGas – RNG Supplier Program,555 W. 5th St,Los Angeles,CA,90013,,RNG & pipeline gas supplier network,34.0505,-118.2551
Atmos Energy – Supplier Network,1800 Three Lincoln Ctr,Dallas,TX,75226,,Natural gas supplier network,32.8998,-96.8071
